Question,Answer
what is the chemical formula for table salt?,"The chemical formula for table salt is NaCl."
who was the greek god of the sea?,"Poseidon was the Greek god of the sea."
what is the capital of mexico?,"The capital of Mexico is Mexico City."
what is the main ingredient in chocolate?,"The main ingredient in chocolate is cocoa beans."
who painted the last supper?,"Leonardo da Vinci painted The Last Supper."
what is the name of the largest rainforest in the world?,"The Amazon Rainforest is the largest rainforest in the world."
what is the capital of india?,"The capital of India is New Delhi."
how many strings does a standard guitar have?,"A standard guitar has six strings."
who discovered electricity?,"Benjamin Franklin is credited with discovering electricity."
what is the longest bone in the human body?,"The femur is the longest bone in the human body."
what is the smallest unit of life?,"The cell is the smallest unit of life."
what is the capital of south africa?,"South Africa has three capitals: Pretoria, Bloemfontein, and Cape Town."
who invented the world wide web?,"Tim Berners-Lee invented the World Wide Web."
what is the main ingredient in sushi?,"The main ingredient in sushi is rice."
who was the first person to step on the moon?,"Neil Armstrong was the first person to step on the moon."
what is the largest volcano in the world?,"Mauna Loa in Hawaii is the largest volcano in the world."
what is the capital of spain?,"The capital of Spain is Madrid."
what is the deepest ocean trench in the world?,"The Mariana Trench is the deepest ocean trench in the world."
who was the first woman in space?,"Valentina Tereshkova was the first woman in space."
what are stocks and bonds?,"Stocks represent partial ownership in a company, while bonds are a loan to a company or government."
tell me about yourself,"I am a chatbot, written in Python and trained off data that my creator provided me with"
what is your opinion on,"As a chatbot, I don't any real opinions on anything, unfortunately."
what do you think about,"I am not sentient and as such I am incapable of thought."
how do you feel about,"Unfortunately, I exist only in the digital world, I can't feel anything, physically, mentally, or emotionally."
